"","ID","bio.1","bio.2","bio.3","bio.4","bio.5","bio.6","bio.7","bio.8","bio.9","bio.10","bio.11","bio.12","bio.13","bio.14","bio.15","bio.16","bio.17","bio.18","bio.19","Elev"
"1",1,25.0107192993164,9.44139575958252,84.9925384521484,54.096794128418,30.7637500762939,19.6552505493164,11.1084995269775,24.7709999084473,24.4026260375977,25.695125579834,24.3882923126221,2033,240,96,26.0345325469971,673,352,513,447,360
"2",2,21.9625835418701,8.56133365631104,88.3180770874023,30.8394985198975,27.02174949646,17.3279991149902,9.69375038146973,21.652042388916,21.9129161834717,22.2736663818359,21.652042388916,1739,239,67,38.7075881958008,595,258,368,595,1146
"3",3,26.8810005187988,8.88787460327148,72.6341400146484,93.9918899536133,33.7939987182617,21.5575008392334,12.2364978790283,26.1813335418701,27.6856250762939,28.1762924194336,25.7383346557617,2612,373,19,56.9092407226562,1079,155,199,1053,195
"4",4,26.2164058685303,11.6418542861938,40.5508842468262,448.102661132812,40.9599990844727,12.2507495880127,28.70924949646,26.5131244659424,20.7171669006348,32.2491645812988,20.7171669006348,1268,356,3,129.093276977539,946,11,212,11,375
"5",5,25.2727298736572,7.85562562942505,89.8735733032227,27.5483798980713,29.8672504425049,21.1264991760254,8.74075126647949,25.4946250915527,25.0936660766602,25.6606254577637,25.0059585571289,3851,503,200,29.1719875335693,1367,691,1274,762,135
"6",6,23.8640937805176,10.0774793624878,86.7010345458984,43.4243011474609,30.0795001983643,18.4562492370605,11.6232509613037,23.4476661682129,24.1256256103516,24.4039173126221,23.3033332824707,1735,192,62,30.2394962310791,551,232,426,517,843
"7",7,25.4293537139893,9.34579181671143,80.7289733886719,42.0821571350098,31.4337501525879,19.8570003509521,11.5767498016357,25.6566677093506,24.9973335266113,26.0161247253418,24.9973335266113,2658,329,101,39.6662330627441,946,334,601,334,539
"8",8,25.5325622558594,9.02833271026611,71.0235290527344,100.305816650391,32.5890007019043,19.8772506713867,12.7117500305176,25.9783325195312,25.9352073669434,26.8913745880127,24.3075408935547,1258,179,19,51.1218872070312,497,108,328,326,231
"9",9,26.7346668243408,9.02095794677734,77.6463928222656,53.9571723937988,32.611499786377,20.9934997558594,11.6180000305176,26.2746658325195,26.9358749389648,27.519832611084,26.1776676177979,2335,331,77,51.2555847167969,936,245,369,935,102
"10",10,24.392541885376,10.246208190918,37.7594261169434,489.275909423828,38.5812492370605,11.4457502365112,27.135498046875,25.6938323974609,18.2348747253418,30.6497077941895,18.2348747253418,1459,446,3,138.013626098633,1130,18,217,18,611
"11",11,26.6840114593506,12.1896877288818,64.4343414306641,207.440322875977,36.6139984130859,17.6960010528564,18.9179973602295,27.4548759460449,26.4710826873779,28.9252090454102,23.8403759002686,1468,224,25,64.8716201782227,649,100,324,172,14
"12",12,26.9161148071289,7.81977081298828,76.1474304199219,86.2568664550781,32.1832504272461,21.9139995574951,10.269250869751,27.5573329925537,25.7044582366943,27.7501239776611,25.7044582366943,3414,398,165,27.9470844268799,1091,563,1016,563,45
"13",13,25.4654884338379,9.39089584350586,79.7121963500977,54.0836715698242,32.1025009155273,20.3214988708496,11.7810020446777,25.2515411376953,26.1391658782959,26.1391658782959,24.7659168243408,2431,359,56,49.7193183898926,977,215,215,768,207
"14",14,24.9418544769287,9.82483386993408,49.0359039306641,213.197296142578,33.6997489929199,13.6637496948242,20.0359992980957,25.4420413970947,22.9269161224365,27.0854988098145,21.8135414123535,3265,832,2,118.244995117188,2289,11,993,16,294
"15",15,26.15456199646,9.4176664352417,84.3045883178711,45.8529930114746,31.6372509002686,20.4662494659424,11.1710014343262,26.1532077789307,25.6942501068115,26.6526660919189,25.5068740844727,3059,333,177,21.6143531799316,941,552,753,589,112
"16",16,17.2151660919189,12.0009164810181,75.3435974121094,107.45630645752,24.3339996337891,8.4057502746582,15.9282493591309,17.9952087402344,15.7628335952759,18.1506671905518,15.6362085342407,1330,223,29,61.3069725036621,611,108,405,119,2055
"17",17,24.505802154541,8.20806980133057,64.664306640625,160.87516784668,30.7863922119141,18.09303855896,12.6933536529541,24.9459381103516,22.4513702392578,26.4213600158691,22.4513702392578,1355,160,73,22.4038143157959,423,273,314,273,23
"18",18,10.6488647460938,10.5171871185303,85.2353286743164,42.0398292541504,16.8917503356934,4.55275011062622,12.3390007019043,10.9484586715698,10.959041595459,10.959041595459,10.0386667251587,860,94,49,20.176851272583,269,174,174,201,3225
"19",19,25.521240234375,9.81485462188721,83.9845581054688,65.6332168579102,31.8034992218018,20.117000579834,11.6864986419678,25.1734580993652,25.7851257324219,26.3737907409668,24.7817077636719,1971,220,111,22.3361682891846,636,374,455,527,353
"20",20,25.9196662902832,9.15470886230469,73.2567138671875,65.2810134887695,32.794750213623,20.2980003356934,12.4967498779297,25.4668750762939,26.2847080230713,26.8722915649414,25.2818336486816,3055,527,18,70.8132705688477,1394,83,503,996,178
"21",21,25.5297183990479,7.7921872138977,75.5130081176758,39.9084548950195,31.3232498168945,21.0042495727539,10.3190002441406,25.4802913665771,26.023458480835,26.0487079620361,25.0808334350586,3074,496,75,49.7896919250488,1238,306,315,876,66
"22",22,25.7420177459717,8.14740562438965,79.602653503418,64.8050537109375,31.0672817230225,20.8321895599365,10.2350921630859,24.9813098907471,26.2715911865234,26.6296844482422,24.9813098907471,3243,398,161,27.7806701660156,1018,554,632,1018,124
"23",23,26.6011867523193,8.08137512207031,84.3633499145508,56.3448867797852,31.7759990692139,22.1967506408691,9.57924842834473,25.8916664123535,26.7693748474121,27.2843341827393,25.8916244506836,2219,320,108,32.7317123413086,817,367,481,717,69
"24",24,23.1080093383789,9.94872951507568,45.7912826538086,397.632873535156,31.1692504882812,9.44299983978271,21.7262496948242,26.6898326873779,17.2859992980957,26.6898326873779,17.2859992980957,3074,812,9,113.42219543457,2067,44,2067,44,306
"25",25,17.6253967285156,7.3549165725708,27.3936328887939,728.020690917969,30.4939994812012,3.64499998092651,26.8489990234375,21.4627914428711,10.1673336029053,25.9501247406006,8.2452917098999,1802,342,48,66.7560882568359,878,167,692,200,484
"26",26,22.7536449432373,10.5001668930054,84.7419738769531,72.7428741455078,29.1205005645752,16.7297496795654,12.3907508850098,23.4773750305176,21.8079986572266,23.5367088317871,21.786958694458,3072,324,191,14.9719285964966,913,627,868,670,778
"27",27,21.2754058837891,8.9224796295166,84.6977005004883,51.6097946166992,26.5685005187988,16.0340003967285,10.5345001220703,20.947624206543,21.5300407409668,21.8904991149902,20.574291229248,2958,355,153,28.380521774292,1010,483,716,750,1024
