"","ID","bio.1","bio.2","bio.3","bio.4","bio.5","bio.6","bio.7","bio.8","bio.9","bio.10","bio.11","bio.12","bio.13","bio.14","bio.15","bio.16","bio.17","bio.18","bio.19","Elev"
"13",13,25.4654884338379,9.39089584350586,79.7121963500977,54.0836715698242,32.1025009155273,20.3214988708496,11.7810020446777,25.2515411376953,26.1391658782959,26.1391658782959,24.7659168243408,2431,359,56,49.7193183898926,977,215,215,768,207
"17",17,24.505802154541,8.20806980133057,64.664306640625,160.87516784668,30.7863922119141,18.09303855896,12.6933536529541,24.9459381103516,22.4513702392578,26.4213600158691,22.4513702392578,1355,160,73,22.4038143157959,423,273,314,273,23
"18",18,10.6488647460938,10.5171871185303,85.2353286743164,42.0398292541504,16.8917503356934,4.55275011062622,12.3390007019043,10.9484586715698,10.959041595459,10.959041595459,10.0386667251587,860,94,49,20.176851272583,269,174,174,201,3225
"19",19,25.521240234375,9.81485462188721,83.9845581054688,65.6332168579102,31.8034992218018,20.117000579834,11.6864986419678,25.1734580993652,25.7851257324219,26.3737907409668,24.7817077636719,1971,220,111,22.3361682891846,636,374,455,527,353
"25",25,17.6253967285156,7.3549165725708,27.3936328887939,728.020690917969,30.4939994812012,3.64499998092651,26.8489990234375,21.4627914428711,10.1673336029053,25.9501247406006,8.2452917098999,1802,342,48,66.7560882568359,878,167,692,200,484
"27",27,21.2754058837891,8.9224796295166,84.6977005004883,51.6097946166992,26.5685005187988,16.0340003967285,10.5345001220703,20.947624206543,21.5300407409668,21.8904991149902,20.574291229248,2958,355,153,28.380521774292,1010,483,716,750,1024
"28",28,21.410457611084,10.0440406799316,55.6525955200195,281.253082275391,30.0247497558594,11.9770002365112,18.0477485656738,23.5213756561279,18.3891658782959,24.2972087860107,17.5131664276123,2207,432,62,70.7924041748047,1081,189,742,204,504
"29",29,26.1269989013672,8.84054183959961,84.693717956543,51.5490303039551,31.2367496490479,20.7985000610352,10.4382495880127,26.1998329162598,26.5051250457764,26.5440006256104,25.3703746795654,2815,310,187,16.1712074279785,873,594,619,709,147
"30",30,25.7159576416016,10.6084585189819,78.6583709716797,51.3965492248535,32.8315010070801,19.3447494506836,13.4867515563965,25.0068740844727,26.1415424346924,26.3167915344238,25.0068740844727,1769,336,22,76.4453277587891,891,83,141,891,266
"48",48,25.8757820129395,8.8493127822876,73.5986022949219,95.5914764404297,32.5830001831055,20.5592498779297,12.0237503051758,26.3426246643066,26.2402496337891,27.1616249084473,24.6847076416016,1311,195,19,48.9247817993164,501,114,309,350,174
"51",51,22.1442718505859,11.6598329544067,61.3360710144043,262.537719726562,30.7089996337891,11.6992502212524,19.0097503662109,23.7575836181641,18.8615417480469,25.054666519165,18.8507919311523,1500,224,34,42.7621726989746,568,189,510,220,339
"54",54,26.4933013916016,8.96247959136963,75.3386840820312,85.3506164550781,33.3160018920898,21.419750213623,11.8962516784668,25.4151248931885,27.1776676177979,27.5867919921875,25.4151248931885,2650,426,28,57.7981719970703,1108,166,206,1108,159
"58",58,26.1535720825195,12.3386459350586,71.6509094238281,49.493408203125,34.8077507019043,17.5872497558594,17.2205009460449,26.1350421905518,25.6871242523193,26.7398338317871,25.5183334350586,1870,311,6,77.848876953125,883,27,485,53,276
"60",60,24.320032119751,10.308687210083,39.6678695678711,455.301605224609,37.0929985046387,11.1055002212524,25.9874992370605,25.9479160308838,18.3549156188965,29.7150001525879,18.279167175293,1353,351,3,119.227439880371,942,26,265,39,524
"66",66,27.2022075653076,9.40187454223633,77.1800079345703,82.8239135742188,34.2574996948242,22.0757503509521,12.1817493438721,26.1877498626709,27.960916519165,28.2975826263428,26.1877498626709,2824,462,38,61.4862098693848,1242,188,204,1242,124
"68",68,16.4212398529053,12.0206460952759,56.9166145324707,329.867858886719,26.6019992828369,5.48225021362305,21.1197490692139,20.3247909545898,12.5157918930054,20.3247909545898,12.3353338241577,1529,163,84,20.081075668335,467,310,467,314,826
"69",69,26.4482917785645,9.85287475585938,89.1824340820312,43.9332313537598,32.1342506408691,21.0862503051758,11.0480003356934,25.8775825500488,26.7358322143555,26.8022499084473,25.8141250610352,2388,353,112,41.8677558898926,976,364,420,844,131
"70",70,25.3569259643555,10.8819789886475,78.5957870483398,59.0112113952637,31.7962493896484,17.9507503509521,13.8454990386963,25.5886249542236,24.503833770752,25.8764572143555,24.503833770752,2105,298,37,58.182014465332,856,128,479,128,154
"74",74,24.9589996337891,8.6066255569458,86.7581481933594,42.2858390808105,30.1942501068115,20.2740001678467,9.92024993896484,24.6725425720215,25.0543327331543,25.5009174346924,24.447624206543,2252,285,118,28.3226070404053,770,388,562,678,378
"76",76,26.8344173431396,8.49887466430664,89.1544799804688,29.945426940918,31.6545009613037,22.1217498779297,9.53275108337402,26.921459197998,26.4511661529541,27.081958770752,26.3976669311523,2660,326,146,26.4012222290039,897,483,798,520,93
"83",83,23.3173961639404,8.7762508392334,91.919563293457,19.4744300842285,28.117000579834,18.5692501068115,9.54775047302246,23.531042098999,23.2816257476807,23.5583343505859,23.1052093505859,3716,400,216,18.9585704803467,1108,704,1022,926,833
"86",86,21.8794364929199,12.371958732605,43.2582206726074,559.302001953125,34.7594985961914,6.15924978256226,28.600248336792,25.9876670837402,20.4002075195312,27.3576240539551,13.9907913208008,1585,485,3,131.91471862793,1169,30,775,43,622
"89",89,27.7296257019043,9.39079189300537,64.1820220947266,149.143966674805,35.8494987487793,21.2180004119873,14.631498336792,26.1734161376953,28.6030826568604,29.8602085113525,26.1734161376953,3216,871,2,113.154579162598,2142,13,229,2142,19
"91",91,17.4366569519043,8.98352146148682,86.7637710571289,33.0456428527832,22.7154998779297,12.361499786377,10.3540000915527,17.1639995574951,17.3316669464111,17.8201675415039,17.1527919769287,2582,385,76,48.472728729248,1050,302,363,402,1706
"102",102,26.9683952331543,7.65920829772949,85.6902465820312,45.6214408874512,31.7974987030029,22.8592491149902,8.9382495880127,26.517707824707,27.2572078704834,27.4633331298828,26.3292503356934,2179,272,119,26.3292274475098,750,397,409,723,16
"107",107,21.5726146697998,12.087103843689,62.763256072998,264.099029541016,29.8962497711182,10.6380004882812,19.2582492828369,24.355583190918,18.2063331604004,24.355583190918,17.9858741760254,1202,217,20,68.0352020263672,590,88,590,124,446
"111",111,25.4059276580811,8.99352073669434,81.3617248535156,59.349853515625,31.6567497253418,20.6030006408691,11.0537490844727,25.0665836334229,26.1945419311523,26.1945419311523,24.6825828552246,2281,335,63,49.2869720458984,927,216,216,759,274
"113",113,26.1544589996338,9.01020812988281,81.9333343505859,43.9816513061523,31.4752502441406,20.47825050354,10.9969997406006,26.277250289917,25.7550411224365,26.6310005187988,25.5431251525879,2787,315,147,23.9710483551025,875,480,684,492,120
"114",114,28.0247497558594,10.4123334884644,87.0887603759766,40.0385551452637,34.4685020446777,22.5125007629395,11.9560012817383,27.6734161376953,28.4259166717529,28.626708984375,27.6137504577637,3351,474,41,61.2525978088379,1365,153,349,1226,26
"115",115,20.1436767578125,5.424729347229,35.4702339172363,351.431121826172,27.3435001373291,12.049750328064,15.2937498092651,23.8801670074463,15.4401254653931,24.0907917022705,15.4401254653931,2156,360,54,65.204963684082,1018,185,918,185,697
"120",120,24.4064483642578,11.5288543701172,87.2621231079102,40.3707275390625,30.8812503814697,17.6695003509521,13.2117500305176,24.1790008544922,24.0014171600342,24.9417495727539,24.0014171600342,1557,193,86,24.6174430847168,488,273,407,273,850
"131",131,27.3004264831543,9.09056282043457,71.6935348510742,97.7137603759766,34.1882514953613,21.5084991455078,12.6797523498535,26.7648754119873,28.1582508087158,28.6522922515869,26.1572074890137,2641,365,21,53.7591133117676,1039,180,210,935,192
"158",158,25.7842597961426,10.8079376220703,65.9986419677734,36.6134033203125,34.2752494812012,17.8992500305176,16.3759994506836,25.334041595459,25.9335823059082,26.2784996032715,25.334041595459,2247,347,15,64.2245712280273,965,76,324,965,268
"173",173,28.1804790496826,11.9581251144409,43.3913879394531,405.632263183594,42.185001373291,14.6262502670288,27.5587501525879,28.1683330535889,26.2947082519531,33.6762084960938,23.1598339080811,1076,305,7,121.119483947754,760,24,196,34,150
"179",179,25.0432910919189,9.15316677093506,78.8284530639648,52.1726150512695,30.9012508392334,19.2897491455078,11.6115016937256,24.9650421142578,24.6170425415039,25.6765823364258,24.3972091674805,1969,346,20,74.2323989868164,980,97,276,124,298
"183",183,24.909740447998,10.6351461410522,71.0430603027344,106.317001342773,31.5962505340576,16.6262512207031,14.9699993133545,25.5729160308838,23.3939170837402,25.810417175293,23.3847503662109,1995,289,45,57.4008712768555,841,156,647,188,297
"184",184,26.111385345459,8.34185409545898,78.2703170776367,59.1910820007324,31.9392490386963,21.2814998626709,10.6577491760254,25.5132503509521,26.7530822753906,26.9625835418701,25.5132503509521,1654,337,49,73.8598403930664,880,162,186,880,272
"186",186,25.062084197998,11.086124420166,91.6341247558594,34.3077125549316,31.2877502441406,19.1895008087158,12.0982494354248,24.6086254119873,25.2626247406006,25.3594169616699,24.5793342590332,3037,392,165,30.6450843811035,1101,528,552,984,483
"194",194,11.9200315475464,8.24052047729492,75.09130859375,36.5637283325195,17.3770008087158,6.40299987792969,10.9740009307861,11.6450834274292,11.9733753204346,12.3139581680298,11.4622087478638,1839,294,25,60.2515602111816,839,129,575,693,2770
"199",199,25.2296257019043,8.02987480163574,89.1960525512695,30.5350856781006,29.8505001068115,20.8479995727539,9.00250053405762,25.4095001220703,24.7882080078125,25.5286254882812,24.7882080078125,3125,347,174,20.2412853240967,978,595,840,595,411
"200",200,27.3490829467773,11.7417497634888,46.6104278564453,347.283416748047,38.9202499389648,13.7290000915527,25.1912498474121,28.5595417022705,24.531042098999,30.8581237792969,22.4009170532227,723,145,1,88.8889923095703,364,5,242,8,106
"201",201,24.0161666870117,10.0275421142578,88.5258331298828,40.4550399780273,29.6844997406006,18.357250213623,11.3272495269775,24.0039577484131,23.8468322753906,24.5324573516846,23.5130825042725,1706,225,43,40.1844635009766,600,189,448,193,501
"202",202,24.3437595367432,10.6569786071777,85.5484008789062,41.1915550231934,30.4015007019043,17.9442501068115,12.4572505950928,24.2432079315186,24.1836242675781,24.8832511901855,23.8662490844727,1588,201,28,45.8458366394043,564,143,437,146,567
