"","X.1","X","PlotObservationID","Species_richness","Longitude","Latitude","Country","Releve_area","Elevation","Aspect","Slope","SoilClim_PC1","SoilClim_PC2","Env.Strat","residuals"
"1",211,305,215438,1.32221929473392,11.0882282939101,47.045366006016,"Austria",25,2.15326284283564,338,1.01732397665116,-2.572,6.382,"ALS",-0.388590041450753
"2",230,325,215501,1.63346845557959,11.0827850559808,47.0383295558976,"Austria",25,1.94717958187344,360,-0.439624038786712,-2.757,6.532,"ALS",1.16141927148065
"3",93,178,210835,1.11394335230684,14.6497478049549,46.8733463020844,"Austria",16,1.4025309636162,360,-1.02240324496186,-1.726,4.409,"ALS",-1.36662886093597
"4",331,433,217879,1.27875360095283,12.8343014238548,47.0811653070174,"Austria",15,2.35934610379784,135,0.143155167388436,-2.26,4.735,"ALS",-0.461339253852434
"5",234,330,215536,1.34242268082221,11.1046461936426,47.0407184337216,"Austria",25,2.77151262572224,360,1.60010318282631,-2.757,6.532,"ALS",-0.23064484645492
"6",318,419,217738,1.53147891704226,12.7325601130524,47.0850094294889,"Austria",60,1.99134028065105,180,0.725934373563585,-2.764,5.274,"ALS",0.720204583196341
"7",118,207,213105,1.27875360095283,12.5522501264628,47.0488473891717,"Austria",15,2.60959006353765,180,-0.731013641874286,-2.09,5.479,"ALS",-0.468231327937967
"8",112,200,213085,1.25527250510331,12.6587069302848,47.0653562245169,"Austria",30,2.683191228167,158,-0.556179880021742,-2.34,5.672,"ALS",-0.58893563149701
"9",135,226,213354,1.50514997831991,12.4071961702219,47.1972796771894,"Austria",100,1.35837026483859,90,1.60010318282631,-2.672,5.826,"ALS",0.459387928088426
"10",251,347,215593,1.23044892137827,11.087083127617,47.0390827929394,"Austria",24,2.15326284283564,360,-1.02240324496186,-2.757,6.532,"ALS",-0.819499461294195
"11",337,439,217895,1.54406804435028,12.835052373339,47.0737369962454,"Austria",30,1.9177391160217,113,1.30871357973874,-2.26,4.735,"ALS",0.79251229423747
"12",6,79,202800,1.61278385671974,15.1255508265866,46.7356854884679,"Austria",12,-0.408057686265958,180,-0.90584740372683,-1.249,2.185,"CON",1.0498224627134
"13",86,170,210463,1.70757017609794,13.7799456952848,47.4737031728037,"Austria",200,0.894682927673648,180,-0.731013641874286,-2.105,3.455,"ALS",1.6055954427265
"14",172,264,214018,1.32221929473392,13.7437217906249,47.3552014644145,"Austria",20,1.43933154593088,203,0.376266849858496,-1.333,3.551,"ALS",-0.293570595445904
"15",31,108,207261,1.5910646070265,15.2511189786656,47.6372296692052,"Austria",25,1.12284653802466,337,0.434544770476011,-1.764,3.778,"ALS",1.00349332147237
"16",29,105,207248,1.57978359661681,15.0721988181084,47.6101933639836,"Austria",50,0.784281180729614,292,0.434544770476011,-1.915,4.052,"ALS",0.890513600158913
"17",128,219,213288,1.30102999566398,13.9365695485295,46.9455446066666,"Austria",35,1.72637608798537,203,-0.731013641874286,-1.942,4.871,"ALS",-0.424565253649592
"18",149,241,213546,1.41497334797082,12.2401896199006,47.1751420956387,"Austria",100,1.72637608798537,90,-0.0316785944641079,-2.247,4.13,"ALS",0.187093293502838
"19",10,83,206604,1.39794000867204,15.7967485664547,47.755773054387,"Austria",50,0.872602578284841,202,0.143155167388436,-2.078,3.991,"CON",0.00315940998078802
"20",220,314,215467,1,11.0984650305801,47.0408910339029,"Austria",25,3.19839938057251,225,0.725934373563585,-2.572,6.382,"ALS",-1.8697727123888
"21",92,177,210814,1.04139268515823,14.0888938974907,46.4896740820113,"Austria",20,0.460436056360446,360,-0.148234435699138,-1.615,4.834,"ALS",-1.88754863346741
"22",316,417,217734,1.53147891704226,12.7362967773075,47.0887150608049,"Austria",30,2.09438191113215,180,-1.02240324496186,-2.764,5.274,"ALS",0.762797746302379
"23",210,304,215435,1.23044892137827,11.0837461790099,47.0410189566319,"Austria",25,1.98398016418812,338,3.9312200075269,-2.572,6.382,"ALS",-0.918277291535595
"24",64,146,209400,1.30102999566398,12.5171147352574,47.3793668340003,"Austria",70,0.681239550248516,225,-0.0316785944641079,-1.535,3.807,"ALS",-0.497412794144075
"25",314,415,217728,1.61278385671974,12.7329397005228,47.0887074032,"Austria",40,2.13854260990977,180,-0.614457800639257,-2.764,5.274,"ALS",1.16769047217109
"26",223,318,215480,1.44715803134222,11.0811226515257,47.0382927469505,"Austria",15,1.90301888309583,270,0.725934373563585,-2.567,5.465,"ALS",0.27221066872595
"27",61,143,209304,1.41497334797082,13.3169886324039,47.1914418380821,"Austria",15,1.18172746972814,360,1.60010318282631,-1.851,4.685,"ALS",0.0506793095292359
"28",159,251,213730,1.32221929473392,12.2429455497349,47.1528563164925,"Austria",100,1.79997725261473,360,-1.02240324496186,-2.32,5.165,"ALS",-0.318575066028103
"29",269,365,216134,1,11.4628823461623,47.2089405493796,"Austria",15,1.71165585505951,90,1.07560189726867,-1.422,4.461,"ALS",-1.9437529166857
"30",91,176,210781,1.57978359661681,13.7410419687675,46.6166878029617,"Austria",100,-0.143093493600275,90,-0.556179880021742,-1.184,4.214,"ALS",0.774624689938762
"31",20,95,207127,1.47712125471966,15.0013378989298,47.5949819789195,"Austria",50,0.85788234535897,90,0.434544770476011,-1.783,4.314,"ALS",0.366465727495279
"32",38,115,207377,1.7160033436348,15.0238816006799,47.5993201558737,"Austria",25,1.24796851789456,315,-0.439624038786712,-1.783,4.314,"ALS",1.62315290812475
"33",221,315,215471,1.38021124171161,11.0798421511561,47.0413474368642,"Austria",12,1.85885818431822,315,0.434544770476011,-2.567,5.465,"ALS",-0.0628847484492669
"34",147,239,213529,1.20411998265592,12.2308458128191,47.1537302596761,"Austria",100,1.65277492335602,270,-0.847569483109316,-2.32,5.165,"ALS",-0.929934242239721
"35",294,395,217695,1.23044892137827,12.7371583068923,47.0908497493994,"Austria",95,2.19742354161325,225,0.725934373563585,-2.764,5.274,"ALS",-0.760687241270017
"36",43,121,207430,1.568201724067,15.6093087373183,47.696020591713,"Austria",20,0.990364441691812,270,0.143155167388436,-1.801,3.295,"CON",0.910961398717899
"37",79,161,210031,1.63346845557959,13.3685134260303,47.6542473405993,"Austria",25,0.298513494175863,90,0.725934373563585,-1.394,4.623,"ALS",1.04990221602701
"38",145,237,213506,1.6232492903979,12.2448812963707,47.1861882345635,"Austria",100,1.35837026483859,360,-0.672735721256771,-2.247,4.13,"ALS",1.19573401459266
"39",161,253,213739,1.568201724067,12.2421693163366,47.1656514068947,"Austria",100,1.94717958187344,360,0.7842122941811,-2.247,4.13,"ALS",0.96584882368166
"40",45,127,207761,1.57978359661681,15.8085536508244,47.7610125207106,"Austria",12,0.97564420876594,203,1.01732397665116,-2.078,3.991,"CON",0.909900994591531
"41",300,401,217702,1.41497334797082,12.7377772344407,47.0893313994075,"Austria",60,2.16798307576151,225,0.725934373563585,-2.764,5.274,"ALS",0.158686994098912
"42",142,234,213467,1.25527250510331,12.4571398703706,47.1620547293425,"Austria",100,1.66749515628189,270,-0.731013641874286,-2.57,5.426,"ALS",-0.687932284709823
"43",73,155,209939,1.49136169383427,13.3594109685401,47.6870415210938,"Austria",25,-0.0547720960450481,338,0.434544770476011,-1.141,2.997,"ALS",0.406110854430506
"44",14,89,207043,1.23044892137827,15.2649130222847,47.6546449938149,"Austria",30,0.585558036230352,45,-0.731013641874286,-1.764,3.778,"ALS",-0.844435284786206
"45",22,97,207131,1.43136376415899,15.0481766189572,47.6218552248965,"Austria",70,-0.128373260674404,315,-0.148234435699138,-1.915,4.052,"ALS",0.0487855108477038
"46",277,373,216432,1.7481880270062,14.3599771445369,47.8278373844358,"Austria",40,-0.790783742338611,293,-0.148234435699138,-1.441,2.886,"CON",1.62432275915746
"47",723,1444,337648,1.34242268082221,15.9442681495644,48.8236149097114,"Austria",200,-1.09990863378191,270,-0.148234435699138,-0.646,0.492,"CON",-0.29500539611522
"48",108,195,212662,1.20411998265592,12.7181397612657,47.4518394963693,"Austria",25,0.0571016741915736,180,-0.672735721256771,-0.823,1.853,"ALS",-0.92669706839135
"49",133,224,213329,1.14612803567824,12.411667363965,47.1934063382559,"Austria",100,1.10812630509878,360,-0.148234435699138,-2.672,5.826,"ALS",-1.3360592420688
"50",104,190,211844,1.568201724067,12.2754920529912,47.6119470554196,"Austria",50,1.28476910020924,247,0.143155167388436,-1.322,4.606,"CON",0.851899333702293
"51",289,390,217689,1.23044892137827,12.7349472698309,47.0888977853726,"Austria",60,2.15326284283564,180,-0.439624038786712,-2.764,5.274,"ALS",-0.745829442906134
"52",50,132,207954,1.25527250510331,14.6461433578339,47.5610326695974,"Austria",100,0.990364441691812,360,0.725934373563585,-1.869,4.378,"ALS",-0.735226301474458
"53",247,343,215577,1.36172783601759,11.0812760791083,47.0365300890287,"Austria",15,1.79997725261473,225,-0.148234435699138,-2.567,5.465,"ALS",-0.152315740533828
"54",82,164,210087,1.30102999566398,14.0272459066084,47.5108474167885,"Austria",40,0.210192096620635,360,0.725934373563585,-2.128,5.005,"ALS",-0.637743576593149
"55",181,275,214363,1.23044892137827,9.60892685856424,47.059275011562,"Austria",100,2.16798307576151,90,1.01732397665116,-1.933,7.02,"ALS",-0.89785715836563
